"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2024","12,692.62","12,923.02","13,040.68","12,692.62","414.38M","-0.38%"
"02/06/2024","12,741.47","12,488.75","12,766.46","12,406.83","304.82M","3.34%"
"02/05/2024","12,329.34","11,957.77","12,349.39","11,957.77","250.94M","3.55%"
"02/02/2024","11,906.72","11,917.22","11,993.09","11,830.70","355.76M","0.40%"
"02/01/2024","11,859.03","11,760.66","11,919.81","11,760.66","285.61M","1.31%"
"01/31/2024","11,705.90","11,653.39","11,804.95","11,583.08","308.40M","0.69%"
"01/30/2024","11,626.15","11,618.93","11,678.26","11,509.41","321.72M","0.83%"
"01/29/2024","11,530.49","11,258.77","11,545.13","11,245.37","334.26M","3.85%"
"01/26/2024","11,103.04","10,984.29","11,157.49","10,951.29","292.95M","1.45%"
"01/25/2024","10,944.50","10,928.01","10,971.30","10,875.79","297.77M","1.58%"
"01/24/2024","10,774.65","10,698.87","10,833.68","10,574.59","241.15M","1.70%"
"01/23/2024","10,594.58","10,665.88","10,820.43","10,566.08","231.52M","0.19%"
"01/22/2024","10,574.62","10,499.60","10,629.87","10,488.15","200.08M","0.69%"
"01/19/2024","10,502.02","10,557.53","10,610.87","10,459.52","181.15M","-0.15%"
"01/18/2024","10,518.04","10,478.27","10,645.66","10,469.40","210.49M","1.00%"
"01/17/2024","10,413.39","10,328.95","10,478.19","10,292.76","171.83M","0.58%"
"01/16/2024","10,353.27","10,398.55","10,427.19","10,291.64","168.65M","-0.09%"
"01/15/2024","10,362.79","10,316.86","10,474.02","10,282.94","165.75M","0.43%"
"01/12/2024","10,318.12","10,321.35","10,454.63","10,139.13","212.12M","0.09%"
"01/11/2024","10,308.76","10,424.35","10,450.15","10,273.47","176.79M","-0.56%"
"01/10/2024","10,367.21","10,170.85","10,412.91","10,102.35","209.46M","2.00%"
"01/09/2024","10,163.88","10,407.36","10,423.74","10,121.19","181.99M","-1.57%"
"01/08/2024","10,325.82","10,284.50","10,425.39","10,283.83","161.40M","0.83%"
"01/05/2024","10,241.11","10,172.78","10,252.99","10,127.93","137.96M","1.25%"
"01/04/2024","10,114.62","9,929.75","10,114.62","9,918.00","166.72M","1.92%"
"01/03/2024","9,923.61","10,102.52","10,132.29","9,886.36","199.65M","-1.33%"
"01/02/2024","10,057.72","9,619.13","10,060.45","9,619.13","178.23M","5.41%"
"12/29/2023","9,541.31","9,460.70","9,573.92","9,358.31","147.77M","1.91%"
"12/28/2023","9,362.71","9,047.12","9,463.88","9,047.12","122.64M","4.03%"
